Denver International Airport,DEN,Denver
Dane County Regional Airport,MSN,Madison
Vance Brand Airport,LMO,Longmont
Los Angeles International Airport,LAX,Los Angeles
San Francisco International Airport,SFO,San Francisco
San Diego International Airport,SAN,San Diego
Seattle–Tacoma International Airport,SEA,Seattle
Portland International Airport,PDX,Portland
Spokane International Airport,GEG,Spokane
McCarran International Airport,LAS,Las Vegas
Salt Lake City International Airport,SLC,Salt Lake City
Phoenix Sky Harbor International Airport,PHX,Phoenix
Tucson International Airport,TUS,Tucson
Dallas/Fort Worth International Airport,DFW,Dallas
O'Hare International Airport,ORD,Chicago
George Bush Intercontinental Airport,IAH,Houston
Minneapolis–Saint Paul International Airport,MSP,Minneapolis
Detroit Metropolitan Airport,DTW,Detroit
Austin-Bergstrom International Airport,AUS,Austin
St. Louis Lambert International Airport,STL,St. Louis
Cincinnati/Northern Kentucky International Airport,CVG,Cincinnati
Hartsfield-Jackson International Airport,ATL,Atlanta
Newark Liberty International Airport,EWR,Newark
Tampa International Airport,TPA,Tampa
Charlotte Douglas International Airport,CLT,Charlotte
Orlando International Airport,MCO,Orlando
Philadelphia International Airport,PHL,Philadelphia
Baltimore/Washington International Airport,BWI,Baltimore
Ronald Reagan Washington National Airport,DCA,Washington D.C.
John F. Kennedy International Airport,JFK,New York City
Logan International Airport,BOS,Boston
